               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/bee_mAP,     metrics/ant_mAP,  metrics/bee_mAP_50,  metrics/ant_mAP_50
                   0,            0.077928,            0.030215,            0.020161,           0.0032895,                0.96,            0.037507,           0.0098279,            0.025047,            0.014534,           0.0094696,              0.0784,              0.0024,              0.0024,           0.0075336,            0.012122,            0.030318,            0.044696
                   1,            0.056449,            0.027732,            0.018866,             0.41831,             0.26269,             0.31418,              0.1166,            0.019243,            0.010659,           0.0089554,            0.055415,           0.0044149,           0.0044149,             0.13413,            0.099062,             0.36486,              0.2635
                   2,            0.044046,            0.025741,            0.017925,             0.42734,                0.56,             0.49683,             0.18303,            0.025204,           0.0093684,            0.008606,            0.031935,           0.0059348,           0.0059348,             0.18091,             0.18514,             0.48967,               0.504
                   3,            0.041999,            0.022404,            0.017225,             0.43145,              0.7449,             0.53068,             0.21684,            0.022824,           0.0068077,           0.0092087,           0.0079597,           0.0069597,           0.0069597,             0.21891,             0.21476,             0.54955,             0.51181
                   4,            0.041155,            0.019846,            0.016629,             0.46231,             0.57483,             0.59982,             0.28588,            0.024981,           0.0043608,           0.0090256,             0.00604,             0.00604,             0.00604,             0.30011,             0.27165,             0.63088,             0.56875
                   5,            0.039357,            0.019823,             0.01697,             0.43626,                0.66,             0.51024,             0.16041,            0.015229,           0.0042561,           0.0085571,             0.00604,             0.00604,             0.00604,             0.18751,             0.13331,             0.62842,             0.39206
                   6,            0.032451,             0.01944,              0.0167,              0.4833,             0.67821,             0.63758,             0.35235,            0.017101,           0.0039354,           0.0082016,             0.00505,             0.00505,             0.00505,             0.33843,             0.36628,              0.6443,             0.63086
                   7,            0.030349,            0.019651,            0.016806,                0.51,                0.86,             0.66915,             0.39896,            0.013468,           0.0040367,           0.0079651,             0.00406,             0.00406,             0.00406,             0.39338,             0.40454,             0.70548,             0.63282
                   8,            0.028747,            0.018865,            0.019619,             0.55719,                 0.8,             0.70258,             0.42986,            0.011241,           0.0042963,           0.0076096,             0.00307,             0.00307,             0.00307,             0.43195,             0.42777,             0.72967,             0.67549
                   9,            0.025749,            0.018496,            0.016106,              0.5836,                0.84,             0.72446,             0.43445,           0.0095031,           0.0041468,           0.0073425,             0.00208,             0.00208,             0.00208,             0.41588,             0.45301,             0.71064,             0.73827
